"","os","lenguajes","registrado","inscrito","sexo","lon","lat","city"
"352","Windows","R, java, javascript,python",2017-09-09,2017-09-09,"female",-3.59,37.17,"Granada"
"353","Mac OS, Linux","C, C++, Python, Ruby, Java, Pascal, Delphi, Basic, SmallTalk, Eiffel, AIML, Perl, R, Matlab y ya he perdido la cuenta...",2017-06-24,2017-06-29,"female",-3.59,37.17,"Granada"
"354","Windows","R",2017-11-06,2017-11-06,"female",-3.59,37.17,"Granada"
"355","Windows 7","Java, JavaScript, SQL, HTML, CSS",2016-12-19,2017-09-05,"male",-3.71,40.42,"Madrid"
"356","Windows","R, SPSS, Matlab, Stata, Gretl",2017-10-20,2017-10-20,"male",-3.59,37.17,"Granada"
"357","MAC, Linux","R, SPSS, PAST, Statistica, etc.",2017-05-29,2017-05-29,"female",-3.59,37.17,"Granada"
"358","Windows, Linux","R, BUGS, INLA, Shiny",2017-05-22,2017-05-22,"male",-0.39,39.48,"Valencia"
"359","windows","python",2017-02-27,2017-04-23,"male",-3.59,37.17,"Granada"
"360","Linux","C++, R, Python, otros",2017-09-01,2017-09-01,"male",-3.71,40.42,"Madrid"
"361","Windows","R, DeltaDNA",2017-11-03,2017-11-03,"female",-5.98,37.4,"Sevilla"
"362","windows","R, SQL, PowerBI",2017-10-16,2017-10-16,"female",-3.59,37.17,"Granada"
"363","Windows","R, 
Aprendiendo: IBM spss, Maple
También usé: Python (Spyder) y Matlab pero no me manejo bien en ellos",2017-09-26,2017-09-26,"female",-3.59,37.17,"Granada"
"364","Windows, Unix","SAS, SPSS, MATLAB/Octave, Python, R, SQL",2017-11-03,2017-11-03,"male",-3.59,37.17,"Granada"
"365","windows","R
SAS",2017-11-10,2017-11-11,"female",-3.59,37.17,"Granada"
"366",".",".",2016-02-12,2017-04-19,"X",-3.59,37.17,"Granada"
"367","Windous","R commander, SPSS, Excel , Stagraphic",2017-11-03,2017-11-03,"female",-3.59,37.17,"Granada"
"368","Windows","R",2016-10-19,2017-07-03,"female",-3.59,37.17,"Granada"
"369","Windows","Estoy iniciándome como Data Scientist, tengo conocimientos limitados de R. Intención y muchas ganas de dominarlo. Además tengo nociones básicas de C, HTML, JavaScript, PHP y me gustaría iniciarme en Python",2017-07-05,2017-07-05,"female",-3.71,40.42,"Madrid"
"370","MAC OS","Matlab, R",2017-09-28,2017-09-28,"male",-3.59,37.17,"Granada"
"371","macOS, Windows 10, Ubuntu 14.04","R, JAVA, C++",2017-11-06,2017-11-06,"male",-3.59,37.17,"Granada"
"372","Windows","R",2017-11-03,2017-11-03,"female",-3.59,37.17,"Granada"
"373","GNU/Linux","R",2017-09-28,2017-09-28,"male",-1.13,37.98,"Murcia"
"374","Windows 10
Ubuntu","Java
R
Python",2017-11-06,2017-11-06,"male",-3.59,37.17,"Granada"
"375","windows 10","R, Python, C++",2017-10-30,2017-10-30,"male",-3.59,37.17,"Granada"
"376","Windows y Linux","R, Python, Java",2017-11-03,2017-11-03,"male",-3.59,37.17,"Granada"
