"","os","lenguajes","registrado","inscrito","sexo","lon","lat","city"
"153","Windows y MacOS","Windows y MacOS",2017-11-06,2017-11-07,"male",-3.71,40.42,"Madrid"
"154","ubuntu, windows","ubuntu, windows",2017-09-28,2017-09-28,"male",-3.59,37.17,"Granada"
"155","Windows","Windows",2017-10-20,2017-10-21,"male",-3.59,37.17,"Granada"
"156","Linux, Windows","Linux, Windows",2017-08-19,2017-08-19,"male",-3.71,40.42,"Madrid"
"157","Windows","Windows",2017-09-15,2017-09-15,"female",2.17,41.4,"Barcelona"
"158","macOS","macOS",2017-11-13,2017-11-13,"male",-3.59,37.17,"Granada"
"159","Linux, windows10","Linux, windows10",2017-05-18,2017-05-18,"male",-3.71,40.42,"Madrid"
"160","Mac OSX","Mac OSX",2016-04-24,2017-06-09,"male",-3.59,37.17,"Granada"
"161","Windows","Windows",2017-10-09,2017-10-09,"male",-3.59,37.17,"Granada"
"162","windows","windows",2017-11-03,2017-11-03,"female",-3.59,37.17,"Granada"
"163","Windows","Windows",2017-11-06,2017-11-07,"female",-1.13,37.98,"Murcia"
"164","Windows","Windows",2017-09-09,2017-09-09,"female",-3.59,37.17,"Granada"
"165","Mac OS, Linux","Mac OS, Linux",2017-06-24,2017-06-29,"female",-3.59,37.17,"Granada"
"166","Windows","Windows",2017-11-06,2017-11-06,"female",-3.59,37.17,"Granada"
"167","Windows 7","Windows 7",2016-12-19,2017-09-05,"male",-3.71,40.42,"Madrid"
"168","Windows","Windows",2017-10-20,2017-10-20,"male",-3.59,37.17,"Granada"
"169","MAC, Linux","MAC, Linux",2017-05-29,2017-05-29,"female",-3.59,37.17,"Granada"
"170","Windows, Linux","Windows, Linux",2017-05-22,2017-05-22,"male",-0.39,39.48,"Valencia"
"171","windows","windows",2017-02-27,2017-04-23,"male",-3.59,37.17,"Granada"
"172","Linux","Linux",2017-09-01,2017-09-01,"male",-3.71,40.42,"Madrid"
"173","Windows","Windows",2017-11-03,2017-11-03,"female",-5.98,37.4,"Sevilla"
"174","windows","windows",2017-10-16,2017-10-16,"female",-3.59,37.17,"Granada"
"175","Windows","Windows",2017-09-26,2017-09-26,"female",-3.59,37.17,"Granada"
"176","Windows, Unix","Windows, Unix",2017-11-03,2017-11-03,"male",-3.59,37.17,"Granada"
"177","windows","windows",2017-11-10,2017-11-11,"female",-3.59,37.17,"Granada"
"178",".",".",2016-02-12,2017-04-19,"X",-3.59,37.17,"Granada"
"179","Windous","Windous",2017-11-03,2017-11-03,"female",-3.59,37.17,"Granada"
"180","Windows","Windows",2016-10-19,2017-07-03,"female",-3.59,37.17,"Granada"
"181","Windows","Windows",2017-07-05,2017-07-05,"female",-3.71,40.42,"Madrid"
"182","MAC OS","MAC OS",2017-09-28,2017-09-28,"male",-3.59,37.17,"Granada"
"183","macOS, Windows 10, Ubuntu 14.04","macOS, Windows 10, Ubuntu 14.04",2017-11-06,2017-11-06,"male",-3.59,37.17,"Granada"
"184","Windows","Windows",2017-11-03,2017-11-03,"female",-3.59,37.17,"Granada"
"185","GNU/Linux","GNU/Linux",2017-09-28,2017-09-28,"male",-1.13,37.98,"Murcia"
"186","Windows 10
Ubuntu","Windows 10
Ubuntu",2017-11-06,2017-11-06,"male",-3.59,37.17,"Granada"
"187","windows 10","windows 10",2017-10-30,2017-10-30,"male",-3.59,37.17,"Granada"
"188","Windows y Linux","Windows y Linux",2017-11-03,2017-11-03,"male",-3.59,37.17,"Granada"
"189","Mac","R",2017-11-13,2017-11-13,"male",-3.59,37.17,"Granada"
"190","windows 10","programacion en C y en Java",2017-09-10,2017-09-10,"male",-3.59,37.17,"Granada"
